nomphoto,oiv,s,sq,n,fn,tn,ligne,colonne,exp,sheet
Exp19DM01_inoc1_T6_P09,md,,,,,,c,3,Exp19DM01_saisie,fichier total
Exp19DM01_inoc1_T6_P18,md,,,,,,a,2,Exp19DM01_saisie,fichier total
Exp19DM01_inoc1_T6_P18,md,,,,,,b,2,Exp19DM01_saisie,fichier total
Exp19DM01_inoc1_T6_P18,md,,,,,,c,2,Exp19DM01_saisie,fichier total
Exp19DM01_inoc1_T6_P29,md,,,,,,b,1,Exp19DM01_saisie,fichier total
Exp19DM01_inoc1_T6_P37,md,,,,,,a,4,Exp19DM01_saisie,fichier total
Exp19DM01_inoc1_T6_P38,md,,,,,,a,2,Exp19DM01_saisie,fichier total
Exp19DM01_inoc1_T6_P38,md,,,,,,b,2,Exp19DM01_saisie,fichier total
Exp19DM01_inoc1_T6_P38,md,,,,,,c,2,Exp19DM01_saisie,fichier total
Exp19DM01_inoc1_T6_P38,md,,,,,,c,4,Exp19DM01_saisie,fichier total
