nomphoto,oiv,s,sq,n,fn,tn,ligne,colonne,exp,sheet
Exp20DM04_inoc2_T6_P01,3.0,,,0.0,,,a,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P01,3.0,,,0.0,,,b,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P01,1.0,,,0.0,,,c,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P01,3.0,,,0.0,,,a,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P01,3.0,,,0.0,,,b,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P01,5.0,,,0.0,,,c,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P01,7.0,,,0.0,,,a,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P01,5.0,,,0.0,,,b,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P01,5.0,,,0.0,,,c,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P01,9.0,,,1.0,,,a,4,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P01,7.0,,,1.0,,,b,4,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P01,7.0,,,1.0,,,c,4,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P02,9.0,,,0.0,,,a,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P02,9.0,,,0.0,,,b,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P02,9.0,,,0.0,,,c,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P02,7.0,,,1.0,,,a,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P02,7.0,,,1.0,,,b,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P02,7.0,,,1.0,,,c,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P02,3.0,,,0.0,,,a,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P02,3.0,,,0.0,,,b,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P02,3.0,,,0.0,,,c,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P03,3.0,,,0.0,,,a,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P03,3.0,,,0.0,,,b,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P03,3.0,,,0.0,,,c,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P03,3.0,,,0.0,,,a,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P03,1.0,,,0.0,,,b,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P03,1.0,,,0.0,,,c,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P03,3.0,,,0.0,,,a,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P03,5.0,,,0.0,,,b,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P03,3.0,,,0.0,,,c,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P03,3.0,,,1.0,,,a,4,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P03,3.0,,,1.0,,,b,4,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P03,3.0,,,0.0,,,c,4,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P04,7.0,,,1.0,,,a,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P04,7.0,,,1.0,,,b,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P04,7.0,,,1.0,,,c,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P04,9.0,,,0.0,,,a,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P04,9.0,,,0.0,,,b,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P04,9.0,,,0.0,,,c,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P04,7.0,,,1.0,,,a,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P04,7.0,,,1.0,,,b,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P04,7.0,,,1.0,,,c,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P05,7.0,,,1.0,,,a,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P05,7.0,,,1.0,,,b,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P05,7.0,,,1.0,,,c,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P05,3.0,,,0.0,,,a,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P05,3.0,,,0.0,,,b,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P05,3.0,,,0.0,,,c,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P05,3.0,,,0.0,,,a,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P05,1.0,,,0.0,,,b,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P05,1.0,,,0.0,,,c,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P05,3.0,,,0.0,,,a,4,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P05,3.0,,,0.0,,,b,4,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P05,3.0,,,0.0,,,c,4,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P06,3.0,,,0.0,,,a,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P06,3.0,,,0.0,,,b,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P06,3.0,,,0.0,,,c,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P06,7.0,,,1.0,,,a,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P06,7.0,,,1.0,,,b,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P06,7.0,,,1.0,,,c,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P06,9.0,,,1.0,,,a,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P06,9.0,,,1.0,,,b,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P06,9.0,,,1.0,,,c,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P07,3.0,,,0.0,,,a,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P07,1.0,,,0.0,,,b,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P07,1.0,,,0.0,,,c,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P07,5.0,,,0.0,,,a,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P07,3.0,,,0.0,,,b,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P07,3.0,,,0.0,,,c,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P07,3.0,,,0.0,,,a,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P07,3.0,,,0.0,,,b,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P07,3.0,,,0.0,,,c,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04_inoc2_T6_P07,5.0,,,0.0,,,a,4,Exp20DM04_inoc2_saisie,fichier total
